Groot,Groot,Marvel Comics,701.12,4.8200000000000003,M,Yellow,,85,good
Hulk,Bruce Banner,Marvel Comics,244.4,630.89999999999998,M,Green,Green,100,high
Colossus,Piotr Nikolaievitch Rasputin,Marvel Comics,226.13,225.52000000000001,M,Silver,Black,85,good
Iron Man,Tony Stark,Marvel Comics,198.91,191.88,M,Blue,Black,85,high
Thor,Thor Odinson,Marvel Comics,198.35,288.61000000000001,M,Blue,Blond,100,good
Drax the Destroyer,Arthur Sampson Douglas,Marvel Comics,193.01,306.42000000000002,M,Red,No Hair,80,average
Hawkeye,Clint Barton,Marvel Comics,191.01,104.93000000000001,M,Blue,Blond,15,average
Ghost Rider,Johnny Blaze,Marvel Comics,188.51,99.200000000000003,M,Red,No Hair,55,average
Blade,Eric Brooks,Marvel Comics,188.45,97.400000000000006,M,Brown,Black,30,good
Star-Lord,Peter Jason Quill,Marvel Comics,188.25,79.209999999999994,M,Blue,Blond,20,good
Captain America,Steve Rogers,Marvel Comics,188.01,108.94,M,blue,blond,20,good
Deadpool,Wade Wilson,Marvel Comics,188.0,95.319999999999993,M,Brown,No Hair,35,good
Nick Fury,Nicholas Joseph Fury,Marvel Comics,185.88,99.280000000000001,M,Brown,Brown / White,15,good
Daredevil,Matt Murdock,Marvel Comics,183.68,90.450000000000003,M,Blue,Red,15,good
Gamora,Gamora Zen Whoberi Ben Titan,Marvel Comics,183.65,77.769999999999996,F,Yellow,Black,85,good
Thing,Ben Grimm,Marvel Comics,183.55,225.41999999999999,M,Blue,No Hair,85,good
Punisher,Frank Castle,Marvel Comics,183.26,90.900000000000006,M,Blue,Black,20,good
Storm,Ororo Munroe,Marvel Comics,180.72,57.5,F,Blue,White,10,good
Mystique,Raven Darkholme,Marvel Comics,178.65,54.960000000000001,F,Yellow (without irises),Red / Orange,15,good
Spider-Man,Peter Parker,Marvel Comics,178.28,74.25,M,Hazel,Brown,55,high
Black Widow,Natasha Romanoff,Marvel Comics,170.79,59.340000000000003,F,Green,Auburn,15,good
Wolverine,Logan,Marvel Comics,160.7,135.21000000000001,M,Blue,Black,35,good
Rocket Raccoon,Rocket Raccoon,Marvel Comics,122.77,25.73,M,Brown,Brown,5,average
Howard the Duck,Howard (Last name unrevealed),Marvel Comics,79.35,18.449999999999999,M,Brown,Yellow,2,
